Tag,Sheet,Simple name,Log Status,Description,SQL type,Units,Included,Verified 2014/03/18,Added 2014/04/18
XV_932301C,9009,valve_filter_backpulse_c,1,Purge gas filter backpulse solenoid C,BOOL,boolean,X,X,
XV_932504,9008,valve_ako_outlet_shutoff,1,Ash KO outlet shutoff valve,BOOL,boolean,X,X,
XV_932505,9008,valve_quench_exit_top,1,Quench vessel exit valve (top),BOOL,boolean,X,X,
XV_936001A,9009,valve_candle_filter_exit_a,1,Candle filter exit valve A,BOOL,boolean,X,X,
XV_936001B,9009,valve_candle_filter_exit_b,1,Candle filter exit valve B,BOOL,boolean,X,X,
XV_936002A,9009,valve_candle_filter_ko_exit_a,1,Candle filter KO exit valve A,BOOL,boolean,X,X,
XV_936002B,9009,valve_candle_filter_ko_exit_b,1,Candle filter KO exit valve B,BOOL,boolean,X,X,
XV_936050,9009,valve_candle_filter_hopper_purge,1,Candle filter ash hopper purge nitrogen on/off valve,BOOL,boolean,X,X,
XV_936058,9009,valve_candle_filter_outlet_purge,1,Candle filter outlet purge on/off solenoid valve,BOOL,boolean,X,X,
XV_936080,9009,valve_candle_filter_purge_supply,1,Candle filter purge supply N2 on/off solenoid,BOOL,boolean,X,X,
XV_983012,9006,valve_steam_vent,1,Steam vent solenoid,BOOL,boolean,X,X,
XV_983013,9006,valve_steam_shutoff,1,Steam shutoff valve,BOOL,boolean,X,X,
XV_983065,9015,valve_tar_probe_steam,1,Tar probe cleaning steam solenoid,BOOL,boolean,X,X,
XV_986006,9006,valve_steam_superheater_purge,1,Steam superheater purge solenoid,BOOL,boolean,X,X,
XV_986016,9008,valve_ako_purge_filter,1,On/off solenoid from ash KO to purge gas filter,BOOL,boolean,X,X,
XV_986024,9008,valve_ako_purge,1,Ash KO purge N2 on/off solenoid,BOOL,boolean,X,X,
XV_986034,9009,valve_purge_filter_supply,1,Purge gas filter purge supply N2 solenoid,BOOL,boolean,X,X,
XV_986901,9015,valve_tar_probe_purge,1,Tar probe purge N2 solenoid,BOOL,boolean,X,X,
XV_989012,9007,valve_sweep,1,Sweep CO2 on/off solenoid,BOOL,boolean,X,X,
XV_990013,9007,valve_argon,1,Argon tracer on/off solenoid,BOOL,boolean,X,X,
XX_983015_SHUTDOWN,9006,shutdown_superheater,0,Superheater shutdown signal,BOOL,boolean,,X,
ZI_1402,9003,switch_1402_position,0,V-1402 position switch,,boolean,,X,
ZSC_922016,9007,switch_biomass_inlet_closed,0,Biomass inlet full port ball valve closed position switch,BOOL,boolean,X,X,
ZSC_932046,9009,switch_purge_filter_outlet_closed,0,Purge gas filter outlet valve closed position switch,BOOL,boolean,,X,
ZSC_932504,9008,switch_ako_outlet_closed,0,Ash KO outlet shutoff valve closed position switch,BOOL,boolean,X,X,
ZSC_932505,9008,switch_quench_exit_closed,0,Quench vessel exit valve closed position switch,BOOL,boolean,X,X,
ZSC_936001A,9009,switch_candle_filter_exit_a_closed,0,Candle filter exit valve A closed position switch,BOOL,boolean,X,X,
ZSC_936001B,9009,switch_candle_filter_exit_b_closed,0,Candle filter exit valve B closed position switch,BOOL,boolean,X,X,
ZSC_936002A,9009,switch_candle_filter_ko_a_closed,0,Candle filter KO exit valve A closed position switch,BOOL,boolean,X,X,
ZSC_936002B,9009,switch_candle_filter_ko_b_closed,0,Candle filter KO exit valve B closed position switch,BOOL,boolean,X,X,
ZSC_983012,9006,switch_steam_vent_closed,0,Steam vent solenoid closed position switch,BOOL,boolean,X,X,
ZSC_983013,9006,switch_steam_shutoff_closed,0,Steam shutoff solenoid closed position switch,BOOL,boolean,X,X,
ZSO_922016,9007,switch_biomass_inlet_open,0,Biomass inlet full port ball valve open position switch,BOOL,boolean,X,X,
ZSO_983012,9006,switch_steam_vent_open,0,Steam vent solenoid open position switch,BOOL,boolean,X,X,
ZSO_983013,9006,switch_steam_shutoff_open,0,Steam shutoff solenoid open position switch,BOOL,boolean,X,X,
